Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment,TALK_interpolated
2,42,052.0 075.0,19-4903CR-HY-060-2112-05200750-0140A-3,140.0,7.64,33.8,,26.386,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,140.0,7.64,7.63,33.8,26.38,165.4,0.29,,,,,,,,,,141,,,,,,,,,
2,43,052.0 075.0,19-4903CR-HY-060-2112-05200750-0150A-7,150.0,7.5,33.833,,26.432,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0,7.5,7.49,33.833,26.43,161.2,0.31,,,,,,,,,,151,,,,,,,,,
2,44,052.0 075.0,19-4903CR-HY-060-2112-05200750-0189A-3,189.0,6.98,33.93,,26.581,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,189.0,6.98,6.96,33.93,26.58,147.5,0.37,,,,,,,,,,190,,,,,,,,,
2,45,052.0 075.0,19-4903CR-HY-060-2112-05200750-0200A-7,200.0,6.85,33.939,,26.606,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.0,6.85,6.83,33.939,26.6,145.3,0.39,,,,,,,,,,201,,,,,,,,,2401.195
2,46,052.0 075.0,19-4903CR-HY-060-2112-05200750-0250A-7,250.0,6.32,33.943,,26.68,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250.0,6.32,6.3,33.943,26.68,138.8,0.46,,,,,,,,,,252,,,,,,,,,2406.5150000000003
2,47,052.0 075.0,19-4903CR-HY-060-2112-05200750-0282A-3,282.0,6.05,33.95,,26.72,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,282.0,6.05,6.03,33.95,26.72,135.3,0.5,,,,,,,,,,284,,,,,,,,,2409.25
2,48,052.0 075.0,19-4903CR-HY-060-2112-05200750-0300A-7,300.0,5.95,33.957,,26.738,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300.0,5.95,5.92,33.957,26.73,133.7,0.52,,,,,,,,,,302,,,,,,,,,2410.285
2,49,052.0 075.0,19-4903CR-HY-060-2112-05200750-0379A-3,379.0,5.6,34.0,,26.816,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,379.0,5.6,5.57,34.0,26.81,127.1,0.63,,,,,,,,,,382,,,,,,,,,2414.0
2,50,052.0 075.0,19-4903CR-HY-060-2112-05200750-0400A-7,400.0,5.5,34.016,,26.841,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400.0,5.5,5.47,34.016,26.84,124.9,0.65,,,,,,,,,,403,,,,,,,,,2415.08
2,51,052.0 075.0,19-4903CR-HY-060-2112-05200750-0500A-7,500.0,5.02,34.101,,26.965,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500.0,5.02,4.98,34.101,26.96,113.9,0.77,,,,,,,,,,504,,,,,,,,,2420.3050000000003
2,52,052.0 075.0,19-4903CR-HY-060-2112-05200750-0565A-3,565.0,4.74,34.16,,27.044,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,565.0,4.74,4.7,34.16,27.04,106.9,0.85,,,,,,,,,,569,,,,,,,,,2423.4
2,53,052.0 075.0,19-4903CR-HY-060-2112-05200750-0600A-7,600.0,4.62,34.188,,27.079,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,600.0,4.62,4.57,34.188,27.07,103.7,0.88,,,,,,,,,,605,,,,,,,,,2424.7400000000002
2,54,052.0 075.0,19-4903CR-HY-060-2112-05200750-0700A-7,700.0,4.33,34.259,,27.168,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,700.0,4.33,4.28,34.259,27.16,96.0,0.98,,,,,,,,,,706,,,,,,,,,2427.995
2,55,052.0 075.0,19-4903CR-HY-060-2112-05200750-0800A-7,800.0,4.08,34.319,,27.243,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,800.0,4.08,4.02,34.319,27.24,89.6,1.07,,,,,,,,,,807,,,,,,,,,2430.795
2,56,052.0 075.0,19-4903CR-HY-060-2112-05200750-0840A-3,840.0,3.99,34.34,,27.269,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,840.0,3.99,3.93,34.34,27.26,87.3,1.11,,,,,,,,,,847,,,,,,,,,2431.7999999999997
2,57,052.0 075.0,19-4903CR-HY-060-2112-05200750-0900A-7,900.0,3.85,34.354,,27.294,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,900.0,3.85,3.78,34.354,27.29,85.1,1.16,,,,,,,,,,908,,,,,,,,,2433.27
2,58,052.0 075.0,19-4903CR-HY-060-2112-05200750-1000A-7,1000.0,3.62,34.378,,27.337,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1000.0,3.62,3.55,34.378,27.33,81.5,1.25,,,,,,,,,,1009,,,,,,,,,2358.552
2,59,052.0 075.0,19-4903CR-HY-060-2112-05200750-1100A-7,1100.0,3.38,34.403,,27.381,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1100.0,3.38,3.3,34.403,27.38,77.6,1.32,,,,,,,,,,1110,,,,,,,,,2360.572
2,60,052.0 075.0,19-4903CR-HY-060-2112-05200750-1200A-7,1200.0,3.15,34.429,,27.423,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1200.0,3.15,3.06,34.429,27.42,73.7,1.4,,,,,,,,,,1211,,,,,,,,,2362.516
2,61,052.0 075.0,19-4903CR-HY-060-2112-05200750-1203A-3,1203.0,3.14,34.43,,27.425,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1203.0,3.14,3.05,34.43,27.42,73.5,1.4,,,,,,,,,,1214,,,,,,,,,2362.6
3,62,051.0 085.0,19-4903CR-HY-061-0354-05100850-0000B-3,0.0,10.2,32.63,,25.069,,,,3,1.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.0,10.2,10.2,32.63,25.06,288.2,0.0,,,,,,,,,,0,,,,,,,,,
3,63,051.0 085.0,19-4903CR-HY-061-0354-05100850-0010A-3,10.0,10.05,32.66,,25.117,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.0,10.05,10.05,32.66,25.11,283.8,0.02,,,,,,,,,,10,,,,,,,,,
3,64,051.0 085.0,19-4903CR-HY-061-0354-05100850-0020A-7,20.0,9.95,32.66,,25.134,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.0,9.95,9.95,32.66,25.13,282.4,0.05,,,,,,,,,,20,,,,,,,,,
3,65,051.0 085.0,19-4903CR-HY-061-0354-05100850-0022A-3,22.0,9.94,32.66,,25.136,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,22.0,9.94,9.94,32.66,25.13,282.3,0.06,,,,,,,,,,22,,,,,,,,,
3,66,051.0 085.0,19-4903CR-HY-061-0354-05100850-0030A-7,30.0,9.92,32.673,,25.15,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.0,9.92,9.92,32.673,25.15,281.1,0.08,,,,,,,,,,30,,,,,,,,,
3,67,051.0 085.0,19-4903CR-HY-061-0354-05100850-0038A-3,38.0,9.87,32.68,,25.163,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,38.0,9.87,9.87,32.68,25.16,280.0,0.1,,,,,,,,,,38,,,,,,,,,
3,68,051.0 085.0,19-4903CR-HY-061-0354-05100850-0049A-3,49.0,9.62,32.75,,25.259,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,49.0,9.62,9.61,32.75,25.25,271.1,0.13,,,,,,,,,,49,,,,,,,,,
3,69,051.0 085.0,19-4903CR-HY-061-0354-05100850-0050A-7,50.0,9.66,32.736,,25.242,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.0,9.66,9.65,32.736,25.24,272.8,0.14,,,,,,,,,,50,,,,,,,,,
3,70,051.0 085.0,19-4903CR-HY-061-0354-05100850-0055A-3,55.0,9.9,32.66,,25.143,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,55.0,9.9,9.89,32.66,25.14,282.3,0.15,,,,,,,,,,55,,,,,,,,,
3,71,051.0 085.0,19-4903CR-HY-061-0354-05100850-0073A-3,73.0,9.65,32.74,,25.247,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,73.0,9.65,9.64,32.74,25.24,272.7,0.2,,,,,,,,,,73,,,,,,,,,
3,72,051.0 085.0,19-4903CR-HY-061-0354-05100850-0075A-7,75.0,9.62,32.765,,25.271,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.0,9.62,9.61,32.765,25.27,270.4,0.21,,,,,,,,,,75,,,,,,,,,
3,73,051.0 085.0,19-4903CR-HY-061-0354-05100850-0099A-3,99.0,9.23,33.12,,25.612,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,99.0,9.23,9.22,33.12,25.61,238.5,0.27,,,,,,,,,,100,,,,,,,,,
3,74,051.0 085.0,19-4903CR-HY-061-0354-05100850-0100A-7,100.0,9.21,33.132,,25.624,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0,9.21,9.2,33.132,25.62,237.3,0.27,,,,,,,,,,101,,,,,,,,,
3,75,051.0 085.0,19-4903CR-HY-061-0354-05100850-0125A-7,125.0,8.79,33.398,,25.899,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0,8.79,8.78,33.398,25.89,211.7,0.32,,,,,,,,,,126,,,,,,,,,
3,76,051.0 085.0,19-4903CR-HY-061-0354-05100850-0150A-7,150.0,8.37,33.605,,26.126,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0,8.37,8.35,33.605,26.12,190.5,0.38,,,,,,,,,,151,,,,,,,,,
3,77,051.0 085.0,19-4903CR-HY-061-0354-05100850-0191A-3,191.0,7.71,33.82,,26.392,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,191.0,7.71,7.69,33.82,26.39,165.7,0.45,,,,,,,,,,192,,,,,,,,,
